Data,Year,Month,Income Before Taxes,Number of Bedrooms,Number of Bathrooms,Urban,Adults,Children,Working,Retired,Renter,Food-Away,lead-Food-Away,High lead-Food-Away Spending,Education_Bachelors,Education_Graduate Degree,Education_High School,Education_Less than High School,Education_Some College,Sex_Female,Sex_Male,Sex_Mixed Gender
Train,2013,3,125953.38425056024,4.0,3.0,1,4,0,4,0,0.0,586.2725080126845,1638.5880025996976,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,12031.08073842394,3.0,1.0,1,1,1,1,0,1.0,392.86716980193785,313.72673291211004,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Test,2013,3,67033.33192866191,1.0,1.0,1,2,0,2,0,0.0,628.5874716831013,965.2576668316138,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Test,2013,3,21275.04131298459,3.0,2.0,1,1,0,0,0,1.0,942.8812075246536,94.118019873633,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Test,2013,3,154155.44060949978,4.0,3.0,1,1,0,1,0,0.0,1438.333144828155,627.4534658242187,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Test,2013,3,213431.3722996407,3.0,2.0,1,4,0,3,0,0.0,4714.406037623268,2352.9504968408246,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,25265.269550690275,2.0,1.0,1,2,0,2,0,1.0,701.116795338844,784.316832280276,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Train,2013,3,60155.4036921197,1.0,1.0,1,1,0,1,0,0.0,501.6611552855518,772.2393479732935,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Train,2013,3,78931.1082925041,3.0,2.0,1,3,0,2,0,0.0,912.6606560014288,1357.471440485091,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,176686.04550834632,4.0,3.0,1,2,1,3,0,0.0,1305.4659104243392,1008.7373484369205,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Test,2013,3,154161.45614986902,4.0,3.0,1,2,5,2,0,0.0,785.7343396038793,784.316832280276,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,50148.672598742975,3.0,2.0,1,2,0,0,1,0.0,314.2937358415514,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Train,2013,3,15061.70997643293,3.0,1.0,1,2,0,0,2,0.0,157.1468679207755,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,4812.432295369576,1.0,1.0,1,1,0,1,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Train,2013,3,60516.33611427242,3.0,2.0,1,2,2,2,0,0.0,1251.1308330615598,633.4128622085867,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,109819.70498033371,4.0,4.0,1,3,1,3,0,0.0,785.7343396038793,1411.7702981044947,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,12031.08073842394,1.0,1.0,1,1,0,0,1,1.0,0.0,125.49069316484407,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Train,2013,3,67260.95997623289,2.0,1.0,1,4,0,4,0,1.0,628.5874716831013,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,18260.53372316509,3.0,2.0,1,2,0,1,1,0.0,0.0,941.18019873633,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,70983.37635670125,3.0,1.0,1,2,2,2,0,1.0,339.6789991210613,543.1260394149281,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Test,2013,3,2970.2332127021027,3.0,1.0,1,1,0,0,0,1.0,628.5874716831013,1388.095683232178,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Train,2013,3,60155.4036921197,2.0,2.0,1,1,0,1,0,0.0,392.8565943311538,494.6675674634479,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Train,2013,3,96248.64590739152,3.0,1.0,1,2,0,1,0,0.0,1075.8516342268472,784.316832280276,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Test,2013,3,120310.8073842394,3.0,2.0,1,4,0,2,0,0.0,550.0140377227159,627.4534658242187,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Train,2013,3,86232.53057103883,3.0,2.0,1,2,0,2,0,0.0,308.249625536906,1204.2003191136605,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Test,2013,3,98895.4836698448,3.0,2.0,1,1,0,1,0,0.0,664.8459419730699,530.9037108852775,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Test,2013,3,70646.98733925492,3.0,2.0,1,2,3,1,0,0.0,1571.468679207755,2352.9504968408246,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Train,2013,3,51705.7350679098,3.0,2.0,1,3,0,3,0,0.0,1251.1308330615598,3282.0642827728434,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,75862.4608393617,5.0,3.0,1,2,0,1,1,0.0,471.4406037623269,392.1584161401362,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,3007.770184605985,2.0,1.0,1,1,0,1,0,1.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Train,2013,3,163239.6284318542,3.0,2.0,1,1,0,1,0,1.0,1115.742762237508,313.72673291211004,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Train,2013,3,14170.688136945251,3.0,2.0,1,1,0,1,0,1.0,314.2937358415514,217.17697797316745,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Train,2013,3,8807.954208600167,2.0,1.0,1,2,2,2,0,1.0,471.4406037623269,392.1584161401362,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,98775.17286246056,3.0,2.0,1,2,0,2,0,0.0,78.57343396038793,470.59009936816494,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Train,2013,3,87856.96709234083,3.0,2.0,1,2,0,2,0,0.0,1242.6610052131934,2177.986890803328,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Train,2013,3,33339.32783424658,2.0,1.0,1,1,0,1,0,1.0,314.2937358415514,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
